Data Center Key,Location,Country/ Region,"Country or state power emissions intensity factor
(gCO2 /kWh)",Data center intensity % below national/ state level,"Net data center emissions intensity
(gCO2 /kWh)","Emissions category
(tertiles, 1=lowest emissions)",Emissions intensity source,"Accounts per data center
(as of 8/27/22)","Share of total accounts
(as of 8/27/22)","Weighted emissions factor
(gCO2 /kWh, as of 8/27/22)"
24940-DE-Falkenstein,Falkenstein,DE,314,100%,0,1,EEA,379,16.90%,0
24940-FI-Helsinki,Helsinki,FI,64,100%,0,1,EEA,310,13.90%,0
24940-DE-Nuremburg,Nuremburg,DE,314,100%,0,1,EEA,138,6.20%,0
16276-FR-Roubaix,Roubaix,FR,60,0%,60,1,EEA,95,4.20%,2.55
16276-CA-Beauharnois,Beauharnois,CA (QB),2,0%,2,1,UNFCC,83,3.70%,0.06
23470-US-New York,New York,US (NY),171,0%,171,1,USEPA,77,3.40%,5.9
16276-FR-Gravelines,Gravelines,FR,60,0%,60,1,EEA,70,3.10%,1.88
16276-EN-London,London,GB/EN,228,0%,228,1,EEA,60,2.70%,6.12
16276-FR-Strasbourg,Strasbourg,FR,60,0%,60,1,EEA,57,2.50%,1.53
18450-US-Ogden,Ogden,US (UT),723,0%,723,3,USEPA,57,2.50%,18.43
16276-DE-Frankfurt,Frankfurt,DE,314,0%,314,2,EEA,55,2.50%,7.72
16276-PL-Warsaw,Warsaw,PL,710,0%,710,3,EEA,55,2.50%,17.46
23470-US-Miami,Miami,US (FL),397,0%,397,2,USEPA,42,1.90%,7.46
18450-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,36,1.60%,5.28
19318-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,28,1.30%,4.1
201814-PL-Europe/Warsaw,Warsaw,PL,710,0%,710,3,EEA,26,1.20%,8.25
16509-IE-Dublin,Dublin,IE,281,0%,281,2,EEA,25,1.10%,3.14
18450-US-Los Angeles,Los Angeles,US (CA),175,0%,175,1,USEPA,14,0.60%,1.1
16143-RU-Moscow,Moscow,RU,362,0%,362,2,Statista,13,0.60%,2.1
24940-DE-Europe/Berlin,Berlin,DE,314,0%,314,2,EEA,12,0.50%,1.69
20326-NL-Amsterdam,Amsterdam,NL,333,0%,333,2,EEA,12,0.50%,1.79
54825-GB-London,London,GB/EN,228,0%,228,1,EEA,11,0.50%,1.12
58061-NL-Dronten,Amsterdam,NL,333,0%,333,2,EEA,11,0.50%,1.64
19318-US-Secaucus,Secaucus,US (NJ),247,0%,247,1,USEPA,11,0.50%,1.21
21409-FR-Europe/Paris,Paris,FR,60,0%,60,1,EEA,10,0.40%,0.27
48314-DE-Europe/Berlin,Berlin,DE,314,0%,314,2,EEA,9,0.40%,1.26
29182-RU-Moscow,Moscow,RU,362,0%,362,2,Statista,9,0.40%,1.46
41786-RU-Yoshkar-Ola,Yoshkar Ola,RU,362,0%,362,2,Statista,9,0.40%,1.46
16509-US-Columbus,Columbus,US (OH),562,0%,562,3,USEPA,9,0.40%,2.26
16276-FR-Europe/Paris,Paris,FR,60,0%,60,1,EEA,8,0.40%,0.21
9009-RO-Bucharest,Bucharest,RO,255,0%,255,2,EEA,8,0.40%,0.91
13830-US-Dallas,Dallas,US (TX),413,0%,413,2,USEPA,8,0.40%,1.48
54825-NL-Amsterdam,Amsterdam,NL,333,0%,333,2,EEA,7,0.30%,1.04
3255-UA-Kyiv,Kyiv,UA,393,0%,393,2,Statista,7,0.30%,1.23
397086-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,7,0.30%,1.03
19318-US-New York,New York,US (NY),171,0%,171,1,USEPA,7,0.30%,0.54
20326-US-Pittsburgh,Pittsburgh,US (PA),343,0%,343,2,USEPA,7,0.30%,1.07
31898-US-Ashburn,Ashburn,US (VA),288,0%,288,2,USEPA,7,0.30%,0.9
24961-DE-Europe/Berlin,Berlin,DE,314,0%,314,2,EEA,6,0.30%,0.84
51167-DE-Düsseldorf,Düsseldorf,DE,314,0%,314,2,EEA,6,0.30%,0.84
58061-GB-Europe/London,London,GB/EN,228,0%,228,1,EEA,6,0.30%,0.61
16509-US-Boardman,Boardman,US (OR),324,0%,324,2,USEPA,6,0.30%,0.87
14618-US-Ashburn,Ashburn,US (VA),288,0%,288,2,USEPA,6,0.30%,0.77
54825-CA-Toronto,Toronto,CA (ON),25,0%,25,1,UNFCC,5,0.20%,0.06
54825-FR-Pantin,Pantin,FR,60,0%,60,1,EEA,5,0.20%,0.13
16125-LT-Europe/Vilnius,Vilnius,LT,165,0%,165,1,EEA,5,0.20%,0.37
23470-US-Los Angeles,Los Angeles,US (CA),175,0%,175,1,USEPA,5,0.20%,0.39
22612-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,5,0.20%,0.73
396356-US-New York,New York,US (NY),171,0%,171,1,USEPA,5,0.20%,0.38
18450-US-Clearfield,Clearfield,US (UT),723,0%,723,3,USEPA,5,0.20%,1.62
397423-US-Ashburn,Ashburn,US (VA),288,0%,288,2,USEPA,5,0.20%,0.64
12212-CA-Toronto,Toronto,CA (ON),25,0%,25,1,UNFCC,4,0.20%,0.04
54825-DE-Frankfurt am Main,Frankfurt,DE,314,0%,314,2,EEA,4,0.20%,0.56
54825-HK-Kwai Chung,Hong Kong,HK,710,0%,710,3,HK Electric,4,0.20%,1.27
20326-IE-Dublin,Dublin,IE,281,0%,281,2,EEA,4,0.20%,0.5
54825-NL-Schiphol,Schiphol,NL,333,0%,333,2,EEA,4,0.20%,0.6
41668-RU-Kazan,Kazan,RU,362,0%,362,2,Statista,4,0.20%,0.65
16509-SG-Singapore,Singapore,SG,408,0%,408,2,EMA,4,0.20%,0.73
59577-UA-Lviv,Lviv,UA,393,0%,393,2,Statista,4,0.20%,0.7
33438-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,4,0.20%,0.59
22439-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,4,0.20%,0.59
55286-US-Piscataway,Piscataway,US (NJ),247,0%,247,1,USEPA,4,0.20%,0.44
16276-CA-America/Toronto,Toronto,CA (ON),25,0%,25,1,UNFCC,3,0.10%,0.03
31898-DE-Frankfurt am Main,Frankfurt,DE,314,0%,314,2,EEA,3,0.10%,0.42
24940-DE-Gunzenhausen,Gunzehausen,DE,314,0%,314,2,EEA,3,0.10%,0.42
54825-ES-Madrid,Madrid,ES,177,0%,177,1,EEA,3,0.10%,0.24
16276-GB-London,London,GB/EN,228,0%,228,1,EEA,3,0.10%,0.31
20326-GB-London,London,GB/EN,228,0%,228,1,EEA,3,0.10%,0.31
16509-JP-Tokyo,Tokyo,JP,496,0%,496,2,UNFCC,3,0.10%,0.67
20326-JP-Tokyo,Tokyo,JP,496,0%,496,2,UNFCC,3,0.10%,0.67
54825-JP-Tokyo,Tokyo,JP,496,0%,496,2,UNFCC,3,0.10%,0.67
7979-NL-Europe/Amsterdam,Amsterdam,NL,333,0%,333,2,EEA,3,0.10%,0.45
41275-RU-Moscow,Moscow,RU,362,0%,362,2,Statista,3,0.10%,0.49
212695-UA-Kivertsi,Kivertsi,UA,393,0%,393,2,Statista,3,0.10%,0.53
35320-UA-Lviv,Lviv,UA,393,0%,393,2,Statista,3,0.10%,0.53
396356-US-Los Angeles,Los Angeles,US (CA),175,0%,175,1,USEPA,3,0.10%,0.24
19318-US-Bethel,Bethel,US (CT),204,0%,204,1,USEPA,3,0.10%,0.27
29802-US-Miami,Miami,US (FL),391,0%,391,2,USEPA,3,0.10%,0.52
15169-US-Council Bluffs,Council Bluffs,US (IA),389,0%,389,2,USEPA,3,0.10%,0.52
3356-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,3,0.10%,0.44
14618-US-America/Chicago,Chicago,US (IL),328,0%,328,2,USEPA,3,0.10%,0.44
